OID,year,month,day,hour,minute,second,latitude,longitude,magnitude,depth,q,eventid,strike,smajax,sminax,unc,q_1,unc_1,q_12,s,mo,fac,mo_auth,mpp,mpr,mrr,mrt,mtp,mtt,str1,dip1,rake1,str2,dip2,rake2,type
-1,1913,4,18,19,2,34,9.459,126.515,6.62,15, C,914056,91.6,19.6,11.8,17.1, C,0.39, C, p, , , , , , , , , , , , , , , , 
-1,1913,4,24,10,15,26,9.895,125.813,6.63,15, B,914058,70.7,17.2,12.9,18, C,0.21, B, p, , , , , , , , , , , , , , , , 
-1,1913,4,24,12,15,28,9.737,126.309,6.43,15, C,914059,84.7,19.9,10.9,17.1, C,0.23, B, p, , , , , , , , , , , , , , , , 
-1,1913,4,26,4,6,13,9.337,126.265,6.23,35, C,914061,83.4,25.8,13.6,17.1, C,0.39, C, p, , , , , , , , , , , , , , , , 
-1,1913,4,28,18,39,27,9.275,125.291,6.33,15, B,914063,69.8,26.9,9.9,16.1, C,0.32, C, p, , , , , , , , , , , , , , , , 
-1,1915,3,12,14,48,33,11.844,122.695,6.82,15, B,913886,72.8,20.9,10.3,6.5, C,0.39, C, p, , , , , , , , , , , , , , , , 
-1,1917,2,18,1,22,48,11.287,123.238,5.88,15, C,913413,74.3,29.8,17.1,25, C,0.27, C, p, , , , , , , , , , , , , , , , 
-1,1917,2,25,5,20,23,12.998,125.666,5.88,15, B,913419,70.1,17,10.3,13.1, C,0.2, C, p, , , , , , , , , , , , , , , , 
-1,1917,2,25,5,45,59,12.969,125.743,6.07,15, C,913420,118.3,22.4,20.2,13.1, C,0.2, B, p, , , , , , , , , , , , , , , , 
-1,1921,5,21,8,42,13,12.67,125.635,6.5,35, B,912236,82.8,20,11.3,11.1, C,0.43, C, p, , , , , , , , , , , , , , , , 
-1,1924,5,16,12,50,58,11.025,124.917,5.95,15, C,910955,73.4,31.1,22,13.3, C,0.45, C, p, , , , , , , , , , , , , , , , 
-1,1925,5,5,10,6,15,9.798,123.044,6.82,15, A,910478,74.7,9.2,7,4.5, C,0.48, C, p, , , , , , , , , , , , , , , , 
