Author,year,month,day,hour,latitude,longitude,depth,Ms,MAG_TYPE,magnitude
BAU,1608,12,3,0.0,11.1,124.8,,5.0,Ms,5.4
BAU,1636,12,21,4.0,7.4,123.6,,6.5,Ms,6.5
BAU,1658,8,19,19.0,14.65,121.1,28.0,5.7,Ms,5.9
BAU,1688,10,19,0.0,16.95,122.2,50.0,7.5,Ms,7.5
BAU,1730,0,0,0.0,14.1,122.1,40.0,6.9,Ms,6.9
BAU,1750,3,10,11.0,13.5,123.1,,4.5,Ms,5.1
BAU,1796,11,5,6.0,16.1,120.5,35.0,6.9,Ms,6.9
BAU,1808,0,0,0.0,7.35,121.65,,5.7,Ms,5.9
BAU,1824,10,26,0.0,14.2,121.9,36.0,7.4,Ms,7.4
BAU,1828,11,9,10.0,13.7,119.5,,6.6,Ms,6.6
BAU,1830,1,18,9.0,14.3,121.85,50.0,6.3,Ms,6.3
BAU,1840,3,22,0.0,12.95,123.85,,6.8,Ms,6.8
BAU,1852,9,16,10.0,14.3,120.05,50.0,7.6,Ms,7.6
BAU,1852,9,25,0.0,13.35,123.3,,4.8,Ms,5.3
BAU,1852,12,24,14.0,13.85,120.9,13.0,5.1,Ms,5.5
BAU,1862,3,4,9.0,13.75,120.4,50.0,6.1,Ms,6.2
BAU,1862,5,31,13.0,17.95,121.15,,5.3,Ms,5.6
BAU,1862,7,13,8.0,15.65,121.5,50.0,5.8,Ms,6.0
BAU,1862,8,4,18.0,18.1,120.8,20.0,4.5,Ms,5.1
BAU,1862,8,7,18.0,17.6,121.5,,5.1,Ms,5.5
BAU,1862,9,8,19.0,17.9,120.5,50.0,6.2,Ms,6.2
BAU,1862,9,8,21.0,17.6,121.1,,4.5,Ms,5.1
BAU,1862,9,8,22.0,17.6,121.1,,4.5,Ms,5.1
BAU,1862,9,9,1.0,17.5,121.05,,4.7,Ms,5.2
BAU,1862,9,12,14.0,17.65,121.65,,5.2,Ms,5.6
BAU,1862,9,22,16.0,13.35,122.75,,5.1,Ms,5.5
BAU,1862,9,22,16.0,13.4,122.65,,4.9,Ms,5.4
BAU,1862,9,22,20.0,13.05,123.0,50.0,5.4,Ms,5.7
BAU,1862,9,23,16.0,13.3,122.95,,6.0,Ms,6.1
BAU,1864,1,3,9.0,6.0,124.1,,6.9,Ms,6.9
BAU,1864,7,12,4.0,14.2,121.9,50.0,5.0,Ms,5.4
BAU,1864,10,13,16.0,11.25,124.85,,5.6,Ms,5.8
BAU,1864,12,6,3.0,12.35,123.65,,4.8,Ms,5.3
BAU,1866,6,28,8.0,18.05,120.45,31.0,4.8,Ms,5.3
BAU,1866,12,28,19.0,18.1,120.35,,4.6,Ms,5.2
BAU,1868,1,14,5.0,13.5,120.5,48.0,5.0,Ms,5.4
BAU,1868,2,19,6.0,8.5,126.9,,6.0,Ms,6.1
BAU,1868,2,26,13.0,15.2,119.5,48.0,4.9,Ms,5.4
BAU,1868,4,4,1.0,11.3,124.55,,5.4,Ms,5.7
BAU,1868,6,5,21.0,10.45,122.2,,4.8,Ms,5.3
BAU,1868,6,29,0.0,10.45,122.25,,5.5,Ms,5.8
BAU,1868,7,30,5.0,18.3,120.7,50.0,5.8,Ms,6.0
BAU,1868,8,22,19.0,13.5,121.25,24.0,4.5,Ms,5.1
BAU,1868,11,15,0.0,11.9,125.9,,5.8,Ms,6.0
BAU,1870,1,8,20.0,13.55,120.5,50.0,4.9,Ms,5.4
BAU,1870,2,11,19.0,12.45,124.6,,4.8,Ms,5.3
BAU,1870,3,14,2.0,18.1,120.35,50.0,4.8,Ms,5.3
BAU,1870,3,17,14.0,13.5,120.85,44.0,4.5,Ms,5.1
BAU,1870,5,23,15.0,18.2,120.85,50.0,6.1,Ms,6.2
BAU,1870,11,4,7.0,7.0,127.1,,6.8,Ms,6.8
BAU,1872,1,26,12.0,15.8,119.45,,6.8,Ms,6.8
BAU,1872,2,4,19.0,13.2,123.5,50.0,5.2,Ms,5.6
BAU,1872,3,5,0.0,13.5,121.25,28.0,4.5,Ms,5.1
BAU,1872,9,5,19.0,12.9,124.7,50.0,6.2,Ms,6.2
BAU,1872,12,19,14.0,15.95,120.05,,5.8,Ms,6.0
BAU,1872,12,29,3.0,14.4,120.35,50.0,6.4,Ms,6.4
BAU,1874,1,16,20.0,12.5,123.5,50.0,5.3,Ms,5.6
BAU,1874,2,2,21.0,15.5,119.6,48.0,6.1,Ms,6.2
BAU,1874,2,3,5.0,14.5,119.65,,5.9,Ms,6.0
BAU,1874,2,28,12.0,12.4,123.7,50.0,5.3,Ms,5.6
BAU,1874,4,13,22.0,18.1,120.45,50.0,5.1,Ms,5.5
BAU,1874,7,8,2.0,16.1,122.25,50.0,6.1,Ms,6.2
BAU,1874,8,24,4.0,18.35,120.5,42.0,5.3,Ms,5.6
BAU,1874,8,24,22.0,7.2,121.5,50.0,6.4,Ms,6.4
BAU,1874,10,16,2.0,15.4,121.45,50.0,6.1,Ms,6.2
BAU,1874,10,16,2.0,15.4,121.4,,5.9,Ms,6.0
BAU,1876,2,17,16.0,16.35,120.05,50.0,5.3,Ms,5.6
BAU,1876,3,11,4.0,16.35,120.7,,4.6,Ms,5.2
BAU,1876,6,12,15.0,13.35,123.35,,4.5,Ms,5.1
BAU,1876,7,13,14.0,15.1,120.0,50.0,5.0,Ms,5.4
BAU,1876,7,25,20.0,10.1,126.4,,7.2,Ms,7.2
BAU,1876,11,17,15.0,17.25,120.35,,5.0,Ms,5.4
BAU,1878,1,12,13.0,15.1,119.6,50.0,5.8,Ms,6.0
BAU,1878,1,16,0.0,11.05,124.65,,5.5,Ms,5.8
BAU,1878,7,29,2.0,12.5,122.1,,5.9,Ms,6.0
BAU,1878,8,3,4.0,14.6,119.8,50.0,6.2,Ms,6.2
BAU,1878,9,16,4.0,6.95,125.75,,6.5,Ms,6.5
BAU,1880,2,27,9.0,17.05,121.05,,5.2,Ms,5.6
BAU,1880,7,14,16.0,14.9,121.85,50.0,6.2,Ms,6.2
BAU,1880,7,18,4.0,14.9,121.55,20.0,7.6,Ms,7.6
BAU,1880,7,20,7.0,14.4,121.7,,5.9,Ms,6.0
BAU,1882,1,20,21.0,15.4,119.3,,4.9,Ms,5.4
BAU,1882,2,2,8.0,16.2,119.25,,5.7,Ms,5.9
BAU,1882,3,11,6.0,7.5,121.6,,5.6,Ms,5.8
BAU,1882,3,12,4.0,13.7,120.3,50.0,5.1,Ms,5.5
BAU,1882,3,18,13.0,7.65,124.5,,5.1,Ms,5.5
BAU,1882,4,30,2.0,15.1,119.7,49.0,5.5,Ms,5.8
BAU,1882,4,30,12.0,14.85,119.5,,5.4,Ms,5.7
BAU,1882,5,1,7.0,15.3,119.45,50.0,5.6,Ms,5.8
BAU,1882,5,10,11.0,7.6,124.5,,5.7,Ms,5.9
BAU,1882,5,22,3.0,14.0,121.0,,5.1,Ms,5.5
BAU,1882,6,21,14.0,17.15,121.9,50.0,5.4,Ms,5.7
BAU,1882,7,24,22.0,14.1,120.1,48.0,5.5,Ms,5.8
BAU,1882,7,25,2.0,14.05,119.65,,5.7,Ms,5.9
BAU,1882,7,28,7.0,18.7,121.9,50.0,5.6,Ms,5.8
BAU,1882,9,11,15.0,13.5,120.45,50.0,6.4,Ms,6.4
BAU,1882,9,12,0.0,14.1,119.8,48.0,6.3,Ms,6.3
BAU,1882,9,16,0.0,14.75,119.75,44.0,5.1,Ms,5.5
BAU,1882,9,17,13.0,13.5,122.9,46.0,5.5,Ms,5.8
BAU,1882,9,22,18.0,16.75,120.95,44.0,4.6,Ms,5.2
BAU,1882,10,4,6.0,13.7,121.6,50.0,5.0,Ms,5.4
BAU,1882,10,10,8.0,13.9,123.1,50.0,5.6,Ms,5.8
BAU,1882,10,10,15.0,13.75,123.3,48.0,5.2,Ms,5.6
BAU,1882,11,28,21.0,15.05,119.6,50.0,5.6,Ms,5.8
BAU,1882,12,6,0.0,11.8,124.15,,6.0,Ms,6.1
BAU,1884,1,9,23.0,13.55,122.65,50.0,5.2,Ms,5.6
BAU,1884,1,10,2.0,13.7,122.75,,5.1,Ms,5.5
BAU,1884,3,22,8.0,16.2,119.1,50.0,5.9,Ms,6.0
BAU,1884,4,19,22.0,14.85,119.55,,5.7,Ms,5.9
BAU,1884,5,12,15.0,14.3,119.7,,5.1,Ms,5.5
BAU,1884,6,5,0.0,8.6,124.8,,5.1,Ms,5.5
BAU,1884,7,30,6.0,16.0,121.0,,5.2,Ms,5.6
BAU,1884,8,3,0.0,17.75,120.2,36.0,5.0,Ms,5.4
BAU,1884,9,20,22.0,13.95,122.1,,4.9,Ms,5.4
BAU,1884,10,28,20.0,14.95,121.85,47.0,5.5,Ms,5.8
BAU,1884,11,11,8.0,13.0,123.1,50.0,6.1,Ms,6.2
BAU,1884,11,11,12.0,13.0,123.1,,5.4,Ms,5.7
BAU,1884,12,17,15.0,15.75,120.95,50.0,5.2,Ms,5.6
BAU,1884,12,17,16.0,15.5,121.25,,5.1,Ms,5.5
BAU,1884,12,20,12.0,15.0,121.9,,5.4,Ms,5.7
BAU,1884,12,23,21.0,11.4,124.5,,5.1,Ms,5.5
BAU,1884,12,24,16.0,11.4,124.5,50.0,5.1,Ms,5.5
BAU,1884,12,27,21.0,9.0,126.8,,5.7,Ms,5.9
BAU,1886,1,1,8.0,16.2,119.6,,4.9,Ms,5.4
BAU,1886,1,11,8.0,9.05,126.8,,5.8,Ms,6.0
BAU,1886,4,10,1.0,10.5,122.2,,5.4,Ms,5.7
BAU,1886,4,14,15.0,16.35,120.65,,5.3,Ms,5.6
BAU,1886,5,21,4.0,13.75,122.35,50.0,5.4,Ms,5.7
BAU,1886,6,3,3.0,13.65,120.4,,5.0,Ms,5.4
BAU,1886,6,6,13.0,15.35,119.95,50.0,5.0,Ms,5.4
BAU,1886,7,28,22.0,16.65,121.95,,4.8,Ms,5.3
BAU,1886,8,1,19.0,13.5,120.05,46.0,6.3,Ms,6.3
BAU,1886,9,2,15.0,16.0,121.0,50.0,5.6,Ms,5.8
BAU,1886,11,3,1.0,18.1,120.5,,4.6,Ms,5.2
BAU,1886,11,26,9.0,10.45,122.2,,5.1,Ms,5.5
BAU,1888,1,26,19.0,8.85,126.75,,5.8,Ms,6.0
BAU,1888,5,3,5.0,18.65,120.85,45.0,5.4,Ms,5.7
BAU,1888,5,7,5.0,5.6,124.85,,4.7,Ms,5.2
BAU,1888,5,17,13.0,5.65,124.85,,4.7,Ms,5.2
BAU,1888,6,11,23.0,13.2,123.55,,4.6,Ms,5.2
BAU,1888,7,29,7.0,8.4,127.1,,5.7,Ms,5.9
BAU,1888,8,15,9.0,16.65,120.9,,5.0,Ms,5.4
BAU,1888,8,18,22.0,18.8,121.9,50.0,6.1,Ms,6.2
BAU,1888,8,19,2.0,10.4,122.1,,5.1,Ms,5.5
BAU,1888,8,19,6.0,10.4,122.1,,5.8,Ms,6.0
BAU,1888,8,19,6.0,17.15,122.15,50.0,6.5,Ms,6.5
BAU,1888,8,19,6.0,17.3,122.25,,6.0,Ms,6.1
BAU,1888,8,19,7.0,18.7,121.9,,5.2,Ms,5.6
BAU,1888,8,19,8.0,10.45,122.1,,5.8,Ms,6.0
BAU,1888,9,15,9.0,16.65,120.9,,5.0,Ms,5.4
BAU,1888,9,16,0.0,17.2,122.15,47.0,5.4,Ms,5.7
BAU,1888,10,7,11.0,7.25,123.65,,5.2,Ms,5.6
BAU,1888,11,30,0.0,9.1,126.75,,5.8,Ms,6.0
BAU,1888,12,3,19.0,10.4,122.25,,5.1,Ms,5.5
BAU,1888,12,14,14.0,15.05,122.05,,5.1,Ms,5.5
BAU,1888,12,22,20.0,9.0,126.75,,5.8,Ms,6.0
BAU,1890,1,13,21.0,15.8,119.85,,5.8,Ms,6.0
BAU,1890,1,18,0.0,11.1,124.75,,4.6,Ms,5.2
BAU,1890,2,6,16.0,11.35,124.85,23.0,6.4,Ms,6.4
BAU,1890,2,6,21.0,11.35,124.85,,4.9,Ms,5.4
BAU,1890,4,13,6.0,18.75,120.25,48.0,5.9,Ms,6.0
BAU,1890,4,13,12.0,18.45,120.0,,6.1,Ms,6.2
BAU,1890,5,3,7.0,13.55,122.0,50.0,5.1,Ms,5.5
BAU,1890,6,4,10.0,14.75,121.95,,5.2,Ms,5.6
BAU,1890,7,14,6.0,6.2,120.75,49.0,5.0,Ms,5.4
BAU,1890,9,29,22.0,17.9,121.2,47.0,4.9,Ms,5.4
BAU,1890,12,22,10.0,9.2,121.8,,5.5,Ms,5.8
BAU,1890,12,29,7.0,16.15,119.6,,4.9,Ms,5.4
BAU,1892,1,25,5.0,18.5,120.7,,5.4,Ms,5.7
BAU,1892,2,7,13.0,10.3,123.2,,5.0,Ms,5.4
BAU,1892,2,23,9.0,14.25,121.9,50.0,5.2,Ms,5.6
BAU,1892,3,8,0.0,20.4,121.45,,6.8,Ms,6.8
BAU,1892,3,13,17.0,10.1,123.0,49.0,6.1,Ms,6.2
BAU,1892,3,13,18.0,10.3,122.15,,6.1,Ms,6.2
BAU,1892,3,16,12.0,16.4,120.4,36.0,6.6,Ms,6.6
BAU,1892,3,22,16.0,10.5,123.1,,5.5,Ms,5.8
BAU,1892,3,26,7.0,16.3,120.85,46.0,5.3,Ms,5.6
BAU,1892,4,7,8.0,16.15,122.05,44.0,5.5,Ms,5.8
BAU,1892,5,20,22.0,15.35,119.65,50.0,5.4,Ms,5.7
BAU,1892,6,15,22.0,6.65,123.75,,5.5,Ms,5.8
BAU,1892,7,12,22.0,13.8,120.0,,4.5,Ms,5.1
BAU,1892,7,28,12.0,15.0,121.85,,5.8,Ms,6.0
BAU,1892,12,3,9.0,16.6,121.0,48.0,5.8,Ms,6.0
BAU,1894,2,9,17.0,6.3,125.85,49.0,6.7,Ms,6.7
BAU,1894,6,4,10.0,8.2,125.85,,5.2,Ms,5.6
BAU,1902,1,31,12.0,11.25,122.0,,5.2,Ms,5.6
BAU,1902,7,12,13.0,9.0,125.7,,4.5,Ms,5.1
BAU,1902,8,6,0.0,11.8,126.1,,5.3,Ms,5.6
BAU,1902,8,26,5.0,10.9,122.4,,5.5,Ms,5.8
BAU,1902,11,17,0.0,13.5,121.1,,5.8,Ms,6.0
BAU,1904,4,26,18.0,12.1,124.1,,5.3,Ms,5.6
