eventID,year,longitude,latitude,depth,magnitude
10000026,1905,98.483,49.709,15.0,8.3
10000028,1905,96.61,49.369,15.0,8.3
10000042,1906,97.0,27.0,100.0,7.0
10000050,1907,94.209,1.873,15.0,7.8
10000070,1908,100.656,29.278,15.0,6.69
10000083,1908,96.773,26.948,15.0,6.95
10000095,1909,101.0,-2.0,35.0,7.6
10000183,1912,100.0,80.0,35.0,5.6
10000191,1912,96.7366,21.0361,15.0,7.55
10000208,1912,96.5,5.0,100.0,6.5
10000239,1913,105.0,-5.5,75.0,7.2
10000246,1913,102.227,24.245,15.0,6.68
10000251,1914,99.0,25.0,100.0,6.9
10000258,1914,101.82,-3.924,35.0,7.57
10000264,1914,92.09,42.747,15.0,7.28
10000271,1914,94.0,12.0,80.0,7.2
10000285,1915,101.0,44.0,35.0,6.5
10000297,1915,92.0,9.0,35.0,6.2
10000306,1915,91.64,27.7,15.0,6.55
10000323,1916,89.0,1.5,35.0,6.3
10000327,1916,96.5,4.0,100.0,7.0
10000350,1917,104.188,28.379,15.0,6.91
10000379,1918,90.853,24.599,15.0,7.19
10000391,1918,100.09,-1.457,35.0,6.51
10000410,1919,101.467,-4.577,35.0,6.3
10000415,1919,104.487,-5.496,20.0,6.4
10000442,1919,101.752,-4.179,25.0,6.47
10000455,1920,95.555,1.575,15.0,6.32
10000493,1920,105.606,36.888,15.0,8.3
10000494,1920,105.484,37.241,15.0,6.81
10000504,1921,93.638,7.401,20.0,6.58
10000509,1921,98.148,1.77,35.0,6.85
10000529,1921,110.623,-10.08,15.0,7.59
10000531,1921,110.0,-5.0,600.0,6.0
10000562,1922,98.253,20.049,35.0,6.71
10000578,1922,90.847,50.039,10.0,6.56
10000586,1922,89.7514,39.1363,10.0,6.36
10000587,1922,95.613,12.23,20.0,6.45
10000616,1923,100.75,31.295,15.0,7.0
10000626,1923,105.171,-6.966,25.0,6.4
10000628,1923,88.327,-2.691,15.0,6.37
10000634,1923,98.711,22.845,25.0,7.24
10000660,1923,90.721,24.937,15.0,6.83
10000661,1923,96.0,48.0,35.0,6.2
10000722,1924,107.0,-7.0,100.0,6.0
10000738,1924,90.0,29.5,35.0,5.6
10000755,1924,89.651,30.882,15.0,6.5
10000769,1924,110.335,-11.752,15.0,6.46
10000794,1925,100.422,25.713,10.0,6.85
10000809,1925,92.0,11.0,35.0,6.0
10000829,1925,93.0,11.0,60.0,6.5
10000854,1925,102.812,-5.514,35.0,6.65
10000867,1925,101.452,20.62,15.0,6.66
10000875,1926,88.211,-2.805,15.0,6.7
10000909,1926,97.0,26.0,80.0,6.2
10000916,1926,92.0,15.0,35.0,5.6
10000919,1926,89.5,35.0,35.0,6.0
10000927,1926,101.468,0.102,15.0,6.71
10000928,1926,100.155,-0.629,35.0,6.44
10000930,1926,101.146,-2.994,25.0,6.82
10000945,1926,97.5,1.0,35.0,6.0
10000950,1926,101.5,29.5,35.0,5.6
10000961,1926,110.617,-9.156,35.0,7.12
10001023,1927,103.0,26.0,35.0,5.6
10001024,1927,95.0,24.5,130.0,6.5
10001025,1927,97.5,38.5,35.0,6.0
10001042,1927,99.5,-1.5,50.0,6.0
10001043,1927,88.5,52.0,35.0,5.6
10001050,1927,102.489,37.645,15.0,7.7
10001059,1927,101.0,29.5,35.0,5.6
10001094,1927,107.5,-7.5,50.0,6.2
10001134,1928,95.993,-4.964,15.0,6.37
10001137,1928,88.578,-2.643,15.0,6.72
10001146,1928,102.132,37.667,15.0,6.23
10001147,1928,88.436,-2.649,15.0,7.7
10001172,1928,91.5,13.5,60.0,6.2
10001191,1928,102.5,31.5,35.0,5.6
10001193,1928,95.5,6.0,100.0,6.0
10001246,1928,98.0,3.0,35.0,6.0
10001291,1929,103.0,24.0,35.0,5.6
10001292,1929,94.5,29.0,35.0,5.6
10001351,1929,93.0,10.0,35.0,6.5
10001355,1929,95.838,19.317,15.0,6.63
10001376,1929,98.053,25.924,15.0,6.27
10001390,1929,94.528,4.203,25.0,6.74
10001434,1930,98.452,25.485,35.0,6.27
10001436,1930,96.43,17.86,35.0,7.47
10001455,1930,102.5,43.5,35.0,5.6
10001456,1930,105.322,-5.629,35.0,6.23
10001462,1930,90.177,25.929,15.0,7.14
10001465,1930,98.258,37.969,10.0,6.49
10001478,1930,100.0,30.0,35.0,5.6
10001487,1930,98.609,25.806,15.0,6.88
10001489,1930,94.0,25.0,35.0,6.2
10001515,1930,98.356,25.854,35.0,6.25
10001516,1930,96.298,18.233,10.0,7.43
10001544,1931,99.0,4.0,150.0,6.2
10001545,1931,108.5,-7.25,35.0,5.6
10001550,1931,96.79,25.851,15.0,7.63
10001555,1931,96.0,25.5,35.0,5.6
10001556,1931,102.557,-5.412,35.0,7.03
10001557,1931,103.046,-5.317,35.0,6.41
10001560,1931,103.025,-4.664,60.0,6.56
10001562,1931,102.489,-5.226,35.0,6.46
10001570,1931,96.0,3.0,35.0,6.0
10001616,1931,98.5,27.5,35.0,5.6
10001664,1931,109.0,55.5,35.0,6.0
10001666,1931,93.0,9.5,35.0,5.6
10001670,1931,89.915,46.817,10.0,7.9
10001680,1931,89.859,47.264,10.0,7.13
10001689,1931,96.0,18.5,35.0,5.6
10001703,1931,102.279,-5.433,35.0,7.42
10001706,1931,102.5,-5.0,35.0,6.0
10001727,1931,98.0,26.0,35.0,5.6
10001745,1931,89.399,46.938,10.0,6.37
10001749,1931,106.0,-5.0,140.0,5.2
10001752,1931,92.5,15.5,35.0,5.6
10001755,1931,102.0,34.5,35.0,5.6
10001758,1931,102.191,-6.197,20.0,6.34
10001764,1932,98.5,25.5,35.0,5.6
10001797,1932,92.5,25.5,35.0,5.6
10001813,1932,90.0,25.0,35.0,5.6
10001818,1932,92.0,24.5,35.0,5.6
10001819,1932,98.5,-8.0,35.0,6.0
10001830,1932,103.0,-4.5,80.0,6.5
10001856,1932,105.0,-6.5,100.0,6.5
10001867,1932,102.5,47.5,35.0,5.6
10001888,1932,97.5,3.0,80.0,6.8
10001905,1932,103.5,-6.0,80.0,6.0
10001908,1932,93.0,49.0,35.0,5.6
10001931,1932,110.0,-6.0,600.0,6.0
10001934,1932,95.6386,25.8368,110.0,7.0
10001954,1932,93.5,8.5,35.0,5.6
10001982,1932,92.0,26.5,35.0,5.6
10002002,1932,93.5,9.0,35.0,6.0
10002008,1932,96.616,39.496,15.0,7.92
10002025,1933,97.0,40.0,35.0,5.6
10002038,1933,90.429,45.971,10.0,6.39
10002057,1933,90.5,26.0,35.0,5.6
10002070,1933,104.0,48.0,35.0,6.0
10002096,1933,96.833,6.883,15.0,6.31
10002100,1933,98.5,38.0,35.0,5.6
10002113,1933,94.0,4.0,35.0,5.6
10002121,1933,100.25,27.25,35.0,6.2
10002133,1933,102.0,-4.0,80.0,6.5
10002135,1933,104.596,-5.226,20.0,7.64
10002138,1933,97.0,19.0,35.0,5.6
10002156,1933,106.5,-7.75,70.0,6.2
10002186,1933,105.0,-8.5,35.0,5.6
10002187,1933,98.403,25.655,10.0,6.37
10002196,1933,103.676,32.012,15.0,7.32
10002261,1933,98.0,25.0,35.0,5.6
10002290,1934,102.5,23.75,35.0,6.0
10002294,1934,98.25,25.5,35.0,6.0
10002295,1934,108.6181,41.1381,15.0,6.36
10002314,1934,101.383,19.772,35.0,6.23
10002318,1934,100.416,-3.872,27.5,6.31
10002375,1934,97.8888,3.9177,130.0,7.0
10002382,1934,96.5,4.0,35.0,5.6
10002392,1934,101.0,-2.5,35.0,5.6
10002396,1934,95.0,24.5,130.0,6.5
10002419,1934,92.5,33.0,35.0,6.0
10002451,1934,96.0,4.0,35.0,5.6
10002452,1934,96.25,3.5,35.0,6.0
10002463,1934,98.0,0.0,35.0,6.2
10002477,1934,99.0,2.0,100.0,6.2
10002520,1934,106.0,-7.5,35.0,5.6
10002522,1934,89.162,31.25,15.0,7.16
10002533,1935,88.344,30.768,15.0,6.49
10002549,1935,94.997,50.024,15.0,5.73
10002581,1935,89.5,24.25,80.0,6.2
10002589,1935,96.006,-6.137,15.0,5.77
10002596,1935,95.659,13.203,15.0,6.09
10002611,1935,94.376,24.175,35.0,5.77
10002620,1935,101.101,19.688,35.0,6.35
10002626,1935,89.459,29.062,15.0,5.7
10002663,1935,111.0,-4.0,620.0,6.0
10002664,1935,92.924,43.88,15.0,5.75
10002675,1935,100.895,32.977,15.0,5.67
10002676,1935,100.929,33.166,15.0,6.33
10002685,1935,96.406,4.381,25.0,7.0
10002698,1935,101.472,-5.049,25.0,6.31
10002737,1935,90.737,35.347,15.0,5.67
10002752,1935,97.52,3.702,15.0,5.88
10002765,1935,91.841,30.919,15.0,5.58
10002768,1935,103.177,21.185,15.0,6.76
10002776,1935,97.58,3.515,15.0,6.11
10002783,1935,93.672,5.63,35.0,6.34
10002784,1935,93.764,5.241,35.0,5.92
10002785,1935,93.885,38.307,15.0,5.72
10002800,1935,103.534,28.888,15.0,6.27
10002801,1935,103.375,29.049,15.0,5.98
10002802,1935,103.418,28.786,15.0,5.57
10002809,1935,98.242,-0.278,30.0,7.6
10002811,1935,97.726,-1.959,15.0,5.73
10002812,1935,98.452,25.939,15.0,5.61
10002813,1935,98.156,-0.569,25.0,5.92
10002815,1935,100.162,-3.47,15.0,5.82
10002818,1936,98.942,-0.122,30.0,6.58
10002829,1936,103.0,-4.0,80.0,6.2
